"UAE Economy Lab","Simplified single-country CGE"
"Source","ADB"
"Source URL","https://kidb.adb.org/download/mrio-file/251"
"Baseline year","2024"
"Scenario","Industrial growth"
"Tariff cut (%)","0"
"Productivity (%)","5"
"Productivity sector","manufacturing"
"Mining export demand (%)","0"
"Import delivered-price change (%)","0"
"Labor closure","fixed"
"Assumed labor share (%)","60"
"Assumed import substitution elasticity","2"
"Assumed export demand elasticity","4"
"Residual","1.3434983313184202e-10"

"Metric","Change (%)"
"Real GDP","1.9599525078561442"
"Household purchasing power","1.4823710544684676"
"Export volume","2.3332527367915246"
"Import volume","0.6183449898443882"

"Sector","Baseline output (USD million)","Output change (%)","Price change (%)","Exports change (%)","Imports change (%)","Employment change (%)"
"Agriculture & fishing","6876.504747378066","-0.6073030203026186","0.6044041014401813","-2.3815229309407493","3.030938756489676","-1.0101213319797853"
"Mining & quarrying","143116.23755153554","-0.9130215167714617","1.0299490561342273","-4.015863102587602","4.115570275226088","-1.5170666582632442"
"Food & beverages","21219.976911025467","12.752594870670531","-3.6042383530099475","15.815915194810227","0.5305805223587479","12.606141466054655"
"Textiles","4453.552708428919","8.267275354904724","-2.812921779090727","12.089748901595222","0.9725077542978688","5.239759606876393"
"Leather & footwear","68.59063162978661","10.122190536008823","-2.912901214524277","12.552178725331654","1.7512000550519158","8.261964748033046"
"Wood products","2025.6719098783876","6.3500276464965255","-4.246786596148167","18.956059679888426","-2.9690420786946947","2.1520720113575864"
"Paper & printing","5309.653304631804","8.851710145656178","-3.4710100826209844","15.17784619288074","-0.7143157349959184","6.188282315139948"
"Petroleum refining","40261.83298816044","10.795358431394586","-3.4779503264514178","15.210976386793496","-2.378377451635505","9.3672048756247"
"Chemicals","29781.554238736106","8.987522964867956","-2.58510348783626","11.04487153739191","-0.24845010253728983","6.409190298901435"
"Rubber & plastics","5907.739656041228","11.215439875812926","-3.6754299340678642","16.158683953331998","0.18238067730393936","10.05918894121567"
"Nonmetallic minerals","21544.928300285075","2.701721657676681","-5.2130682874843455","23.881409804060304","-6.8492222717711275","-3.6213789546743813"
"Metals","39435.197681621874","12.529682972664059","-2.9772100421291303","12.850883728434415","1.3753058332812707","12.235348767375864"
"Machinery","15885.354346777129","8.620062517869599","-2.6927501935686493","11.53706363607907","-0.6473251871554231","5.811916916683901"
"Electrical & optical equipment","7146.310541071468","14.367210554970011","-3.463496056611015","15.141990397108351","0.42429356203506075","15.306480409026445"
"Transport equipment","5931.704830583198","7.624638679962703","-3.713276109638597","16.341419614579866","-0.4373495762611368","4.200710190222301"
"Other manufacturing","5853.886268506715","12.8859258680478","-3.256880694073938","14.161496920076043","0.8165044626466278","12.828158623972596"
"Electricity, gas & water","36399.176536790605","0.9564924194691127","1.5630651744867885","0","2.9578347192954713","1.599231302063564"
"Construction","111443.64762742595","0.18518787824508554","0.3406117602908765","-1.350923968580886","1.2324897828313253","0.30883694984185084"
"Motor trade & fuel retail","19746.894394226507","-1.0572685774498547","0.9083737406123671","-3.5524562649476454","1.8223696811131118","-1.7558968810662878"
"Wholesale trade","21349.447352815983","-0.14240581221950377","1.453852407473466","-5.610034116134255","2.5484361076129503","-0.23723033911214886"
"Retail trade","60361.863596046314","-1.3520427704027282","0.7402593549897585","-2.9070399422211124","2.681062929448541","-2.2432336268556563"
"Hotels & restaurants","29646.842454494228","-1.1724490712696434","0.3224540414478172","-1.279485183815221","1.0681410966088434","-1.9464349263916159"
"Inland transport","3278.4761684239093","-0.40109685637651493","0.9257356589539745","0","1.8918822526961643","-0.6676005912834126"
"Water transport","1429.0762754663456","0.1947379512919012","1.050993507198572","0","1.6123950653019747","0.32477388920546524"
"Air transport","69059.52308327021","-0.9686206810098463","0.29706768077002454","-1.1794979630713187","0.41149414401795426","-1.6091498069052745"
"Transport support & travel agencies","12122.630329357218","0.0759449159216441","1.3862447182909854","0","2.577408359600608","0.12660689955654725"
"Post & telecommunications","10015.671858871354","-0.738917976429021","1.0713158720377258","-4.172905528560733","1.9825356701401065","-1.2284941320452214"
"Finance","58586.64682213475","-0.4841437580564101","1.3051794200172884","-5.054715591165049","2.871702968701073","-0.8056033663586315"
"Real estate","39962.686021846566","0.14054593327055276","1.4707819647276743","0","3.02356725191284","0.23435294476263913"
"Business services","56498.8723469762","-1.0119452035186605","0.8670766091221527","-3.394408513822511","1.7413164823514293","-1.680879848068817"
"Public administration","55486.71628827479","-0.17544999788136062","1.232507853967113","-4.781789198198649","2.036626642302175","-0.29224561476789424"
"Education","12761.48384483677","0.06427750214994532","1.3098781431849948","0","1.590686524280227","0.10715212192917711"
"Health & social work","19428.924301491388","-0.33426809070030705","0.7404646892888334","-2.9078315388851417","1.4250162301150837","-0.5564925028215484"
"Other services","9711.849415366976","-1.0338087709869548","0.7150442919736655","-2.809770475577822","1.9690732415055479","-1.7170702156109607"
"Household employment","3286.3120200681565","0.05098803466201396","1.7957629849105539","0","2.1170867617410716","0.08499450017234178"
